<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
analyte	cell_type	"In the case of single cell analysis, this is the type of cell being analyzed.
"	enum					All CTC Populations | Apoptotic CTC | Biomarker Positive All CTC Populations | Biomarker Positive Traditional CTC | Cytokeratin Negative CTC | Cytokeratin Negative CTC Cluster | Cytokeratin Positive CTC | Cytokeratin Positive CTC Cluster | Nucleated Cell | Small CTC | Small CTC Cluster | Traditional CTC | Traditional CTC Cluster | White Blood Cell 							
analyte	cell_identifier	"The identifying name or number for the cell being identified.
"	string												
analyte	days_to_assay	"The amount of time, in days, between the date used for index and the assay used to address this analyte.
"	integer												
analyte	frame_identifier	"In an analysis of a slide, the frame denotes the region of the slide that is being examined. Within a frame are multiple cells.
"	string												
analyte	llod	"The lower limit of detection. lowest quantity of a substance that can be distinguished from the absence of that substance (a blank value) within a stated confidence limit (generally 1%).
"	number												
analyte	run_identifier	"The identifier given to the run during which this particular analyte was tested or evaluated. If you analyze multiple analytes through the same experimentation run, this is a good way to keep track.
"	string												
analyte	specificity	The true negative rate.	number												
analyte	sensitivity	The true positive rate.	number												
analyte	aliquots			_definitions.yaml#/to_many											
analyte	studies			_definitions.yaml#/to_many											
biospecimen	biospecimen_anatomic_site		enum	_terms.yaml#/biospecimen_anatomic_site				Abdomen | Abdominal Wall | Acetabulum | Adenoid | Adipose | Adrenal | Alveolar Ridge | Amniotic Fluid | Ampulla of Vater | Anal Sphincter | Ankle | Anorectum | Antecubital Fossa | Antrum | Anus | Aorta | Aortic Body | Appendix | Aqueous Fluid | Arm | Artery | Ascending Colon | Ascending Colon Hepatic Flexure | Auditory Canal | Autonomic Nervous System | Axilla | Back | Bile Duct | Bladder | Blood | Blood Vessel | Bone | Bone Marrow | Bowel | Brain | Brain Stem | Breast | Broad Ligament | Bronchiole | Bronchus | Brow | Buccal Cavity | Buccal Mucosa | Buttock | Calf | Capillary | Cardia | Carina | Carotid Artery | Carotid Body | Cartilage | Cecum | Cell-Line | Central Nervous System | Cerebellum | Cerebral Cortex | Cerebrospinal Fluid | Cerebrum | Cervical Spine | Cervix | Chest | Chest Wall | Chin | Clavicle | Clitoris | Colon | Colon (Mucosa Only) | Common Duct | Conjunctiva | Connective Tissue | Dermal | Descending Colon | Diaphragm | Duodenum | Ear | Ear Canal | Ear, Pinna (External) | Effusion | Elbow | Endocrine Gland | Epididymis | Epidural Space | Esophagogastric Junction | Esophagus | Esophagus (Mucosa Only) | Eye | Fallopian Tube | Femoral Artery | Femoral Vein | Femur | Fibroblasts | Fibula | Finger | Floor of Mouth | Fluid | Foot | Forearm | Forehead | Foreskin | Frontal Cortex | Frontal Lobe | Fundus of Stomach | Gallbladder | Ganglia | Gastroesophageal Junction | Gastrointestinal Tract | Groin | Gum | Hand | Hard Palate | Head and Neck | Head (Face Or Neck) NOS | Heart | Hepatic | Hepatic Duct | Hepatic Vein | Hip | Hippocampus | Humerus | Hypopharynx | Ileum | Ilium | Index Finger | Ischium | Islet Cells | Jaw | Jejunum | Joint | Kidney | Knee | Lacrimal Gland | Large Bowel | Laryngopharynx | Larynx | Leg | Leptomeninges | Ligament | Lip | Liver | Lumbar Spine | Lung | Lymph Node | Lymph Node(s) Axilla | Lymph Node(s) Cervical | Lymph Node(s) Distant | Lymph Node(s) Epitrochlear | Lymph Node(s) Femoral | Lymph Node(s) Hilar | Lymph Node(s) Iliac-Common | Lymph Node(s) Iliac-External | Lymph Node(s) Inguinal | Lymph Node(s) Internal Mammary | Lymph Node(s) Mammary | Lymph Node(s) Mesenteric | Lymph Node(s) Occipital | Lymph Node(s) Paraaortic | Lymph Node(s) Parotid | Lymph Node(s) Pelvic | Lymph Node(s) Popliteal | Lymph Node(s) Regional | Lymph Node(s) Retroperitoneal | Lymph Node(s) Scalene | Lymph Node(s) Splenic | Lymph Node(s) Subclavicular | Lymph Node(s) Submandibular | Lymph Node(s) Supraclavicular | Lymph Nodes(s) Mediastinal | Mandible | Maxilla | Mediastinal Soft Tissue | Mediastinum | Mesentery | Mesothelium | Middle Finger | Mitochondria | Muscle | Nails | Nasal Cavity | Nasal Soft Tissue | Nasopharynx | Neck | Nerve | Nerve(s) Cranial | Occipital Cortex | Ocular Orbits | Omentum | Oral Cavity | Oral Cavity (Mucosa Only) | Oropharynx | Other | Ovary | Palate | Pancreas | Paraspinal Ganglion | Parathyroid | Parotid Gland | Patella | Pelvis | Penis | Pericardium | Periorbital Soft Tissue | Peritoneal Cavity | Peritoneum | Pharynx | Pineal | Pineal Gland | Pituitary Gland | Placenta | Pleura | Popliteal Fossa | Prostate | Pylorus | Rectosigmoid Junction | Rectum | Retina | Retro-Orbital Region | Retroperitoneum | Rib | Ring Finger | Round Ligament | Sacrum | Salivary Gland | Scalp | Scapula | Sciatic Nerve | Scrotum | Seminal Vesicle | Shoulder | Sigmoid Colon | Sinus | Sinus(es), Maxillary | Skeletal Muscle | Skin | Skull | Small Bowel | Small Bowel (Mucosa Only) | Small Finger | Soft Tissue | Spinal Column | Spinal Cord | Spleen | Splenic Flexure | Sternum | Stomach | Stomach (Mucosa Only) | Subcutaneous Tissue | Synovium | Temporal Cortex | Tendon | Testis | Thigh | Thoracic Spine | Thorax | Throat | Thumb | Thymus | Thyroid | Tibia | Tongue | Tonsil | Tonsil (Pharyngeal) | Trachea Major Bronchi | Transverse Colon | Trunk | Umbilical Cord | Ureter | Urethra | Urinary Tract | Uterus | Uvula | Vagina | Vas Deferens | Vein | Venous | Vertebra | Vulva | White Blood Cells | Wrist | Unknown 							
biospecimen	biospecimen_type	"A top level description of the biospecimen. Is the biospecimen a fluid or solid tissue?
"	enum					Fluid | Solid Tissue 							
biospecimen	biospecimen_volume	"For fluid biospecimens this is the total volume in milliliters.
"	number												
biospecimen	biospecimen_weight	"For solid tissue biospecimens this is the total weight in milligrams.
"	number												
biospecimen	blood_draw_method	"The name or generalized description of the method used to draw a blood biospecimen. Alternatively, if you have provided a blood draw protocol, put the associated file_name here.
"	string												
biospecimen	blood_tube_type	"The kind of tube used to collect the sample(s) taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes.
"	enum					EDTA | CellSave | Streck | Acid Citrate Dextrose (ACD) | Not Applicable | Unknown 							
biospecimen	clinical_site	"The name or identifier for the clinical site at which the biospecimen was taken from the patient.
"	string												
biospecimen	collaboration_id	"In cases where the same biospecimen is used by multiple institutions, a deidenfitied id may provided here to tie those together. Work with your collaborators assure the same id is in all projects.
"	string												
biospecimen	days_to_collection	"The number of days between the index date and the date the biospecimen was received at laboratory that will be processing the biospecimen. If this information is missing, please indicate 'TRUE' for 'days_to_collection_not_reported'. If this information is available, then answer 'FALSE' for 'days_to_collection_not_reported'.
"	integer												
biospecimen	days_to_collection_not_reported	"True/False indicator of whether the number of days between the index date and the date the biospecimen was collected at laboratory is reported. If 'days_to_collection' data is available, please answer 'FALSE' and fill in 'days_to_collection'. If the data are not available, answer 'TRUE'.
"	boolean												
biospecimen	days_to_procurement	"The number of days between the index date and the date the biospecimen was taken from the patient (such as the blood draw). If this information is missing, please indicate 'TRUE' for 'days_to_procurement_not_reported'. If this information is available, then answer 'FALSE' for 'days_to_procurement_not_reported'.
"	integer												
biospecimen	days_to_procurement_not_reported	"True/False indicator of whether the number of days between the index date and the date the biospecimen was taken from the patient is reported.  If 'days_to_procurement' data is available, please answer 'FALSE' and fill in 'days_to_procurement'. If the data are not available, answer 'TRUE'.
"	boolean												
biospecimen	disease_type	"The primary disease of the patient from which the biospecimen was taken.
"	enum					Blood Cancer | Breast Cancer | Colorectal Cancer | Gastric Cancer | Kidney Cancer | Liver Cancer | Lung Cancer | Melanoma | Ovarian Cancer | Pancreatic Cancer | Prostate Cancer | Sarcoma | Uterine Cancer | Healthy | Unknown 							
biospecimen	metastatic_bone	"True/False indicator of whether metastasis had been confirmed in an area of bone of the patient from which the biospecimen was taken.
"	boolean												
biospecimen	metastatic_lymph_node	"True/False indicator of whether metastasis had been confirmed in the lymph nodes of the patient from which the biospecimen was taken.
"	boolean												
biospecimen	metastatic_visceral	"True/False indicator of whether metastasis had been confirmed in the viscera of the patient from which the biospecimen was taken.
"	boolean												
biospecimen	method_of_procurement		enum	_terms.yaml#/method_of_sample_procurement				Biopsy | Blood Draw | Not Applicable | Unknown 							
biospecimen	primary_site	"The site of the primary tumor for the patient from which the biospecimen was taken.
"	enum					Bone | Bone Marrow | Brain | Breast | Central Nervous System | Cervix | Colorectal | Corpus Uteri | Digestive Organs | Endocrine Gland | Esophagus | Eye | Female Genital Organs | Head and Neck | Hematopoietic System | Integumentary System | Joints and Articular Cartilage | Kidney | Liver | Lung | Lymph Node | Male Genital Organs | Other Sites | Ovary | Pancreas | Pleura | Prostate | Retroperitoneum and Peritoneum | Skin | Soft Tissue | Stomach | Testis | Thoracic Organs | Thymus | Thyroid | Unknown | Urinary System | Uterus 							
biospecimen	procured_or_purchased	"Was the biospecimen purchased from a vendor or procured from a study participant.
"	enum					Procured | Purchased 							
biospecimen	procurement_temperature	"The temperature, in centigrade, at which the biospecimen was kept after procuring it from the patient. Use 20 for room temperature; 0 for on ice.
"	number												
biospecimen	shipping_temperature	"The temperature, in centigrade, at which the biospecimen was kept while it was being transported from the procurement site to its processing destination.
"	number												
biospecimen	tissue_type		enum	_terms.yaml#/tissue_type				Tumor | Normal | Abnormal | Peritumoral | Unknown 							
biospecimen	tumor_code		enum	_terms.yaml#/tumor_code				Acinar Cell Neoplasms | Adenomas and Adenocarcinomas | Adnexal and Skin Appendage Neoplasms | Basal Cell Neoplasms | Blood Vessel Tumors | Chronic Myeloproliferative Disorders | Complex Epithelial Neoplasms | Complex Mixed and Stromal Neoplasms | Cystic, Mucinous and Serous Neoplasms | Ductal and Lobular Neoplams | Epithelial Neoplasms, NOS | Fibroepithelial Neoplasms | Fibromatous Neoplasms | Germ Cell Neoplasms | Giant Cell Tumors | Gliomas | Granular Cell Tumors and Alveolar Soft Part Sarcomas | Hodgkin Lymphoma | Immunoproliferative Disease | Leukemias, NOS | Lipomatous Neoplasms | Lymphatic Vessel Tumors | Lymphoid Leukemias | Malignant Lymphomas, NOS or Diffuse | Mast Cell Tumors | Mature B-Cell Lymphomas | Mature T- and NK-Cell Lymphomas | Meningiomas | Mesonephromas | Mesothelial Neoplasms | Miscellaneous Bone Tumors | Miscellaneous Tumors | Mucoepidermoid Neoplasms | Myelodysplastic Syndromes | Myeloid Leukemias | Myomatous Neoplasms | Myxomatous Neoplasms | Neoplasms | Neoplasms of Histiocytes and Accessory Lymphoid Cells | Nerve Sheath Tumors | Neuroepitheliomatous Neoplasms | Nevi and Melanomas | Odontogenic Tumors | Osseous and Chondromatous Neoplasms | Other Hematologic Disorders | Other Leukemias | Paragangliomas and Glomus Tumors | Plasma Cell Tumors | Precursor Cell Lymphoblastic Lymphoma | Soft Tissue Tumors and Sarcomas, NOS | Specialized Gonadal Neoplasms | Squamous Cell Neoplasms | Synovial-like Neoplasms | Thymic Epithelial Neoplasms | Transitional Cell Papillomas and Carcinomas | Non Cancerous Tissue 							
biospecimen	tumor_descriptor		enum	_terms.yaml#/tumor_descriptor				Metastatic | Not Applicable | Primary | Recurrence | Xenograft | NOS | Unknown 							
biospecimen	tumor_morphology	"The specific description of the tumor morphology. Please use the ICD-0-3 code name (e.g. ""Neoplasm, benign"", ""Carcinoma, Nos"", or ""Hepatocellular adenoma"").
"	string												
biospecimen	cases			_definitions.yaml#/to_one											
biospecimen	followups			_definitions.yaml#/to_one											
case	collaboration_id	"For instances in which multiple institutions use the same patient for their respective studies, this space is used as a place to enter in the de-identified barcode, id, or other identifier for the patient. Work with your collaborators to decide on the patient's id.
"	string												
case	index_date	"The reference or anchor date used during date obfuscation, where a single date is obscured by creating one or more date ranges in relation to this date.
"	enum					Diagnosis | First Patient Visit | Study Enrollment | Not Applicable 							
case	lost_to_followup	"A yes/no indicator related to whether a patient was unable to be contacted for follow-up.
"	enum					Yes | No | Not Applicable 							
case	days_to_lost_to_followup	"The number of days between the date used for index and the date the patient was lost to follow-up.
"	integer												
case	studies			_definitions.yaml#/to_many											
cell_image	data_category		enum	_terms.yaml#/data_category				Slide Image 							
cell_image	data_type		enum	_terms.yaml#/data_type				Single Cell Image 							
cell_image	data_format		string	_terms.yaml#/data_format											
cell_image	analytes			_definitions.yaml#/to_one											
cell_image	core_metadata_collections			_definitions.yaml#/to_one											
comorbidity	comorbidity	"Text term to identify a coexistent disease or condition in a person.
"	enum					Acute renal failure | Adrenocortical Insufficiency | Allergies | Anemia | Anxiety | Arrhythmia | Arthritis | Asthma | Atrial Fibrillation | Avascular Necrosis | Basal Cell Carcinoma | Blood Clots | Bone Fracture(s) | Bronchitis | Calcium Channel Blockers | Cancer | Cataracts | Cerebrovascular Disease | Chronic renal failure | Congestive Heart Failure (CHF) | Connective Tissue Disorder | COPD | Coronary Artery Disease | Cryptogenic Organizing Pneumonia | Deep vein thrombosis / Thromboembolism | Depression | Diabetes | Diabetic Neuropathy | Diet controlled Diabetes | DVT/PE | Dyslipidemia | Epilepsy | Gastroesophageal reflux disease | GERD | Glaucoma | Gout | Gonadal dysfunction | Headache | Heart disease | Hemorrhagic Cystitis | Hepatitis | Hepatitis B Infection | Hepatitis C Infection | HIV / AIDS | HUS/TTP | Hypercholesterolemia | Hypercalcemia | Hyperglycemia | Hyperlipidemia | Hypertension | Hypothyroidism | Inflammatory Bowel Disease | Insulin controlled Diabetes | Interstitial Pneumontis or ARDS | Iron Overload | Ischemic heart disease | ITP | Joint replacement | Kidney Disease | Liver Cirrhosis (Liver Disease) | Liver toxicity (non-infectious) | Lupus | MAI | Myocardial Infarction | None | Obesity | Organ transplant (site) | Osteoarthritis | Osteoporosis or Osteopenia | Other | Other cancer within 5 years | Other nonmalignant systemic disease | Other pulmonary complications | Pancreatitis | Pain (various) | Peptic Ulcer (Ulcer) | Peripheral neuropathy | Peripheral Vascular Disease | Pregnancy in patient or partner | Psoriasis | Pulmonary Fibrosis | Pulmonary Hemorrhage | Renal failure (requiring dialysis) | Renal dialysis | Renal Insufficiency | Rheumatologic Disease | Sarcoidosis | Seizure | Sleep apnea | Smoking | Stroke | Transient ischemic attack | Tuberculosis | Ulcerative Colitis 							
comorbidity	days_to_comorbidity	"Number of days between the date used for index and the date the patient was diagnosed with a comorbidity.
"	integer												
comorbidity	cases			_definitions.yaml#/to_one											
comorbidity	followups			_definitions.yaml#/to_one											
contrived_expectation	expected_allelic_fraction	Relative frequency of the expected allele.	number												
contrived_expectation	expected_copy_number	The expected copy number ratio at the expected locus.	number												
contrived_expectation	expected_mutation_alt	Expected mutated bases/amino acids in the sample.	string												
contrived_expectation	expected_mutation_chromosome	The chromosome on which the mutation should be located.	string												
contrived_expectation	expected_mutation_gene	The gene in which the mutation is expected to occur.	string												
contrived_expectation	expected_mutation_position	The amino acid or base position of the expected mutation.	string												
contrived_expectation	expected_mutation_reference	Identifier for the bases/amino acids in the reference genome.	string												
contrived_expectation	expected_mutation_type	The type of mutation expected in the sample. (e.g. missense, indel, etc)	string												
contrived_expectation	aliquots			_definitions.yaml#/to_one											
core_metadata_collection	contributor	"An entity responsible for making contributions to the resource. Examples of a Contributor include a person, an organization, or a service. Typically, the name of a Contributor should be used to indicate the entity.
"	string												
core_metadata_collection	coverage	"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant. Spatial topic and spatial applicability may be a named place or a location specified by its geographic coordinates. Temporal topic may be a named period, date, or date range. A jurisdiction may be a named administrative entity or a geographic place to which the resource applies. Recommended best practice is to use a controlled vocabulary such as the Thesaurus of Geographic Names [TGN] (http://www.getty.edu/research/tools/vocabulary/tgn/index.html). Where appropriate, named places or time periods can be used in preference to numeric identifiers such as sets of coordinates or date ranges.
"	string												
core_metadata_collection	creator	"An entity primarily responsible for making the resource. Examples of a Creator include a person, an organization, or a service. Typically, the name of a Creator should be used to indicate the entity.
"	string												
core_metadata_collection	date			_definitions.yaml#/datetime											
core_metadata_collection	description	"An account of the resource. Description may include but is not limited to: an abstract, a table of contents, a graphical representation, or a free-text account of the resource.
"	string												
core_metadata_collection	format	"The file format, physical medium, or dimensions of the resource. Examples of dimensions include size and duration. Recommended best practice is to use a controlled vocabulary such as the list of Internet Media Types [MIME] (http://www.iana.org/assignments/media-types/).
"	string												
core_metadata_collection	language	"A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 (http://www.ietf.org/rfc/rfc4646.txt).
"	string												
core_metadata_collection	publisher	"An entity responsible for making the resource available. Examples of a Publisher include a person, an organization, or a service. Typically, the name of a Publisher should be used to indicate the entity.
"	string												
core_metadata_collection	relation	"A related resource. Recommended best practice is to identify the related resource by means of a string conforming to a formal identification system. 
"	string												
core_metadata_collection	rights	"Information about rights held in and over the resource. Typically, rights information includes a statement about various property rights associated with the resource, including intellectual property rights.
"	string												
core_metadata_collection	source	"A related resource from which the described resource is derived. The described resource may be derived from the related resource in whole or in part. Recommended best practice is to identify the related resource by means of a string conforming to a formal identification system.
"	string												
core_metadata_collection	subject	"The topic of the resource. Typically, the subject will be represented using keywords, key phrases, or classification codes. Recommended best practice is to use a controlled vocabulary.
"	string												
core_metadata_collection	title	"A name given to the resource. Typically, a Title will be a name by which the resource is formally known.
"	string												
core_metadata_collection	data_type	"The nature or genre of the resource. Recommended best practice is to use a controlled vocabulary such as the DCMI Type Vocabulary [DCMITYPE]. To describe the file format, physical medium, or dimensions of the resource, use the Format element.
"	string												
core_metadata_collection	projects			_definitions.yaml#/to_one_project											
demographic	cause_of_death	"Text term to identify the cause of patient death with respect to cancer.
"	enum					Cancer Related | Not Cancer Related | Unknown 							
demographic	days_to_birth	"The number of days between the index date and the date of patient birth. If the number of days is greater than 32872 (89 years), then please use 'days_to_birth_gt89'.
"	integer			32872	0								
demographic	days_to_birth_gt89	"Indicate if the number of days between the index date and the date of patient birth is greater than 32872 (89 years).
"	enum					Yes | No 							
demographic	days_to_death	"The number of days between the index date and the date of patient death.
"	integer												
demographic	ethnicity		enum	_terms.yaml#/ethnicity				Hispanic or Latino | Not Hispanic or Latino | Unknown 							
demographic	gender		enum	_terms.yaml#/gender				Female | Male | Unknown | Unspecified 							
demographic	race		enum	_terms.yaml#/race				White | American Indian or Alaska Native | Black or African American | Asian | Native Hawaiian or Other Pacific Islander | Other | Unknown 							
demographic	vital_status		enum	_terms.yaml#/vital_status				Alive | Dead | Lost to Follow-up | Unknown 							
demographic	cases			_definitions.yaml#/to_one											
diagnosis	age_at_diagnosis		integer	_terms.yaml#/age_at_diagnosis		32872	0								
diagnosis	age_at_diagnosis_gt89		enum	_terms.yaml#/age_at_diagnosis_gt89				Yes | No 							
diagnosis	ajcc_clinical_m		enum	_terms.yaml#/ajcc_clinical_m				M0 | M1 | M1a | M1b | M1c | MX | cM0 (i+) | Unknown 							
diagnosis	ajcc_clinical_n		enum	_terms.yaml#/ajcc_clinical_n				N0 | N0 (i+) | N0 (i-) | N0 (mol+) | N0 (mol-) | N1 | N1a | N1b | N1bI | N1bII | N1bIII | N1bIV | N1c | N1mi | N2 | N2a | N2b | N2c | N3 | N3a | N3b | N3c | N4 | NX | Unknown 							
diagnosis	ajcc_clinical_stage		enum	_terms.yaml#/ajcc_clinical_stage				Stage 0 | Stage 0a | Stage 0is | Stage I | Stage IA | Stage IA1 | Stage IA2 | Stage IB | Stage IB Cervix | Stage IB1 | Stage IB2 | Stage II | Stage II Cervix | Stage IIA | Stage IIA Cervix | Stage IIB | Stage IIC | Stage III | Stage IIIA | Stage IIIB | Stage IIIC | Stage IS | Stage IV | Stage IVA | Stage IVB | Stage IVC | Stage Tis | Stage X | Unknown 							
diagnosis	ajcc_clinical_t		enum	_terms.yaml#/ajcc_clinical_t				T0 | T1 | T1a | T1a1 | T1a2 | T1b | T1b1 | T1b2 | T1c | T1mi | T2 | T2a | T2a1 | T2a2 | T2b | T2c | T2d | T3 | T3a | T3b | T3c | T3d | T4 | T4a | T4b | T4c | T4d | T4e | TX | Ta | Tis | Tis (DCIS) | Tis (LCIS) | Tis (Paget's) | Unknown 							
diagnosis	ajcc_pathologic_m		enum	_terms.yaml#/ajcc_pathologic_m				M0 | M1 | M1a | M1b | M1c | M2 | MX | cM0 (i+) | Unknown 							
diagnosis	ajcc_pathologic_n		enum	_terms.yaml#/ajcc_pathologic_n				N0 | N0 (i+) | N0 (i-) | N0 (mol+) | N0 (mol-) | N1 | N1a | N1b | N1bI | N1bII | N1bIII | N1bIV | N1c | N1mi | N2 | N2a | N2b | N2c | N3 | N3a | N3b | N3c | N4 | NX | Unknown 							
diagnosis	ajcc_pathologic_stage		enum	_terms.yaml#/ajcc_pathologic_stage				Stage 0 | Stage 0a | Stage 0is | Stage I | Stage IA | Stage IA1 | Stage IA2 | Stage IB | Stage IB1 | Stage IB2 | Stage IC | Stage II | Stage IIA | Stage IIA1 | Stage IIA2 | Stage IIB | Stage IIC | Stage III | Stage IIIA | Stage IIIB | Stage IIIC | Stage IV | Stage IVA | Stage IVB | Stage IVC | Stage Tis | Stage X 							
diagnosis	ajcc_pathologic_t		enum	_terms.yaml#/ajcc_pathologic_t				T0 | T1 | T1a | T1a1 | T1a2 | T1b | T1b1 | T1b2 | T1c | T1mi | T2 | T2a | T2a1 | T2a2 | T2b | T2c | T2d | T3 | T3a | T3b | T3c | T3d | T4 | T4a | T4b | T4c | T4d | T4e | TX | Ta | Tis | Tis (DCIS) | Tis (LCIS) | Tis (Paget's) | Unknown 							
diagnosis	best_overall_response	The best improvement achieved throughout the entire course of protocol treatment.	enum					AJ-Adjuvant Therapy | CPD-Clinical Progression | CR-Complete Response | CRU-Complete Response Unconfirmed | DU-Disease Unchanged | IMR-Immunoresponse | IPD-Immunoprogression | MR-Minimal/Marginal response | MX-Mixed response | Non-CR/Non-PD-Non-CR/Non-PD | NPB-No Palliative Benefit | NR-NO RESPONSE | PA-Palliative Therapy | PB-Palliative Benefit | PD-Progressive Disease | PPD-Pseudoprogression | PR-Partial Response | PSR-Pseudoresponse | RD-Responsive Disease | RP-Response | RPD-Radiographic Progressive Disease | sCR-Stringent Complete Response | SD-Stable Disease | SPD-Surgical progression | TE-Too early | VGPR-Very Good Partial Response 							
diagnosis	classification_of_tumor		enum	_terms.yaml#/classification_of_tumor				Primary | Metastasis | Recurrence | Other | Unknown 							
diagnosis	days_to_best_overall_response	Number of days between the date used for index and the date of the patient's best overall response.	integer												
diagnosis	days_to_diagnosis	Number of days between the date used for index and the date of the patient's diagnosis.	integer												
diagnosis	method_of_diagnosis		enum	_terms.yaml#/method_of_diagnosis				Autopsy | Biopsy | Blood Draw | Bone Marrow Aspirate | Core Biopsy | Cytology | Debulking | Diagnostic Imaging | Excisional Biopsy | Fine Needle Aspiration | Incisional Biopsy | Laparoscopy | Laparotomy | Other | Surgical Resection | Ultrasound Guided Biopsy | Unknown 							
